cTS,cEE,cH2,cNG,cCO2,cBioCH4,cBiomass,configuration,energy,co2
25,10,10,10,75,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,75,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,75,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,75,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,75,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,75,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,75,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,75,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,75,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,100,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,100,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,100,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,100,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,100,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,100,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,100,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,100,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,100,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,150,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,150,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,150,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,150,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,150,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,150,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,150,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,150,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,150,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,200,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,200,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,200,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,200,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,200,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,200,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,200,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,200,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,200,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,250,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,250,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,250,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,250,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,250,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,250,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,10,250,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,10,250,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,10,250,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,75,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,75,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,75,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,75,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,75,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,75,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,75,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,75,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,75,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,100,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,100,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,100,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,100,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,100,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,100,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,100,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,100,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,100,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,150,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,150,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,150,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,150,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,150,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,150,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,150,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,150,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,150,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,200,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,200,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,200,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,200,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,200,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,200,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,200,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,200,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,200,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,250,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,250,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,250,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,250,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,250,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,250,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,35,250,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,35,250,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,35,250,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,55,75,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,55,75,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,55,75,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,55,75,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,55,75,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,55,75,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,55,75,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,55,75,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,55,75,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,55,100,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,55,100,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,55,100,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,55,100,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,55,100,50,35,PlasmaOxy_CC,5.02,0.08
25,10,10,55,100,50,50,PlasmaOxy_CC,5.02,0.08
25,10,10,55,100,70,20,PlasmaOxy_CC,5.02,0.08
25,10,10,55,100,70,35,PlasmaOxy_CC,5.02,0.08
25,10,10,55,100,70,50,PlasmaOxy_CC,5.02,0.08
25,10,10,55,150,30,20,PlasmaOxy_CC,5.02,0.08
25,10,10,55,150,30,35,PlasmaOxy_CC,5.02,0.08
25,10,10,55,150,30,50,PlasmaOxy_CC,5.02,0.08
25,10,10,55,150,50,20,PlasmaOxy_CC,5.02,0.08
25,10,10,55,150,50,35,PlasmaOxy_CC,5.02,0.08
